ColonyID,Species,Phenotype,Sample,Timepoint,Diameter,Height,Without_wax_weight_g,With_wax_weight_g,Notes
Standard5,NA,NA,Standard,January_2025,0.7,15,4.4632,5.8993,"Same as May 2024, Oct 2024, and Oct 2025"
Standard6,NA,NA,Standard,January_2025,0.2,15,0.7428,1.2505,"Same as May 2024, Oct 2024, and Oct 2025"
1,Montipora capitata,Susceptible,Coral,October_2025,NA,NA,6.7896,7.2,"Modified wax weight, previous weight was overestimation"
2,Montipora capitata,Resistant,Coral,October_2025,NA,NA,3.3506,4,"Modified wax weight, previous weight was overestimation"
3,Montipora capitata,Susceptible,Coral,October_2025,NA,NA,1.4843,2.1265,
4,Montipora capitata,Resistant,Coral,October_2025,NA,NA,7.1726,8.3196,May be an overestimation
12,Montipora capitata,Resistant,Coral,October_2025,NA,NA,2.7166,3.1647,
19,Montipora capitata,Susceptible,Coral,October_2025,NA,NA,4.4934,5.1,"Modified wax weight, previous weight was overestimation"
20,Montipora capitata,Resistant,Coral,October_2025,NA,NA,5.6296,6.7423,May be an overestimation
26,Porites compressa,Resistant,Coral,October_2025,NA,NA,5.3606,5.8716,
27,Porites compressa,Susceptible,Coral,October_2025,NA,NA,8.6021,9.3335,
28,Porites compressa,Resistant,Coral,October_2025,NA,NA,2.6409,2.9285,
29,Porites compressa,Susceptible,Coral,October_2025,NA,NA,3.901,4.403,
41,Porites compressa,Susceptible,Coral,October_2025,NA,NA,4.4487,4.8812,
42,Porites compressa,Resistant,Coral,October_2025,NA,NA,5.9902,6.7383,
43,Porites compressa,Susceptible,Coral,October_2025,NA,NA,4.1733,4.6989,
44,Porites compressa,Resistant,Coral,October_2025,NA,NA,3.4543,3.8723,
